,User,Date Created,Tweet
0,Mellouisa1,2023-01-06 23:59:27+00:00,@ganjarpranowo Bravo pak GP &amp; team atas terobosannya mengurangi kemiskinan di Jateng melalui pendidikan yg memotivasi semoga menginspirasi para kepala daerah untuk menjadi berkat buat sesama anak bangsa
1,pronwirogeblek,2023-01-06 23:59:21+00:00,@yaniarsim @ganjarpranowo betina kadron tolol ketularan si kapir yohanes anisius https://t.co/U92WejZnqu
2,budiealtis,2023-01-06 23:57:33+00:00,@Valhallaah @jokowi @YaqutCQoumas @kemendagri @mohmahfudmd @budimandjatmiko @ganjarpranowo @gibran_tweet @bobbynasution_ @ridwankamil Emang kalo sdh di test mereka ga korupsi? Ga ttd surat perjalanan fiktif?
3,banghendro7921,2023-01-06 23:57:15+00:00,"@Valhallaah @jokowi @YaqutCQoumas @kemendagri @mohmahfudmd @budimandjatmiko @ganjarpranowo @gibran_tweet @bobbynasution_ @ridwankamil kalo udah bisa mengaji itu biasanya udah gak korupsi,merakyat,sabar,jujur ..ITUKAN KATANYA BUKAN FAKTANYA🤣🤣🤣🤣🤣"
4,mrobama99,2023-01-06 23:54:30+00:00,@CendolPejaten Kyk lg ngeliat cebong di kolam den @ganjarpranowo
5,aminoto7,2023-01-06 23:53:12+00:00,@CNNIndonesia Halo pak gub ? @ganjarpranowo
6,ganesa4gp,2023-01-06 23:51:58+00:00,"Selamat Pagi 🇮🇩❤️🇮🇩 
Selamat Akhir Pekan . 
Salam satu Perjuangan menjaga Indonesia,Pancasila dan Bhineka Tungggal Ika dengan mendukung Ganjar Pranowo Presiden RI 2024.
#Ganesa
#GanjarUntukIndonesiaSatu
#GanjarPranowo 
#GanjarPilihanJokowi 
#GanjarPenjagaPancasila https://t.co/DdshoqOAKN"
7,__RismaWidiono_,2023-01-06 23:50:19+00:00,"Berbagai upaya dilakukan relawan yang tergabung dalam #SahabatGanjar untuk menggaet simpati warga di sejumlah daerah. Salah satunya dengan gerakan cinta lingkungan.

@ganjarpranowo 

https://t.co/L3QR6IKysK https://t.co/qP1n8y5WVr"
8,Mas_zobirin,2023-01-06 23:50:17+00:00,@yaniarsim @ganjarpranowo Kata xabong https://t.co/ceDyxZYuv1
9,mufimizan76,2023-01-06 23:50:01+00:00,"@JantunGPiisanG @ganjarpranowo Jangan nyalahin ganjar mas, semua ini yg salah anies..udah dikasih tau sama ketum nya buat fokus nanganin jateng, ehh malah ngga dilakukan sibuk safari keluar jateng. Emang anies itu tidak layak.."
10,JatengTV,2023-01-06 23:49:57+00:00,(04) Pada PT Perorangan seluruh kendala dan resiko kerugian serta keuntungan akan dihadapi dan ditanggung oleh pemilik usaha itu sendiri. #ptperorangan #badanhukum #badanusaha #umkm #ganjarpranowo #prabowo #aniesbaswedan #puanmaharani #pilpres2024 https://t.co/HRqCfZUnue
