,User,Date Created,Tweet
0,indapurwoto,2023-01-20 23:59:45+00:00,@gundala2221 @edhi_shi @ridwankamil Gubernur wakanda pe'a
1,OposisiCerdas,2023-01-20 23:57:50+00:00,"PPP: Ridwan Kamil Sudah Sejak Lama Masuk Radar KIB
https://t.co/GBFjLRjc5I"
2,Oposisi_Militan,2023-01-20 23:56:54+00:00,@abwnewscom Kang Emil @ridwankamil ga ikutan pak @aniesbaswedan
3,aaron_jacson,2023-01-20 23:52:52+00:00,@hipohan @miharja_ozzy @ridwankamil dalam politik itu biasa Bang... 😀😀😀 Biasa berkhianat 😄😄
4,xdonie,2023-01-20 23:51:03+00:00,"The multiverse of #KangTheConqueror :
1. Kang Kabayan 
2. Kang Asep
3. Kang Dadi
4. Kang Irwan
5. Kang Udin

Eh jangan lupa ama Kang @ridwankamil"
5,nunuwsn,2023-01-20 23:50:58+00:00,@_Vinooooooo_ @infojakarta @ridwankamil Jd walikota lagi ?
6,achebainulhari1,2023-01-20 23:46:13+00:00,"@HisyamMochtar Hidup rakyat jawa barat tak seindah postingan ridwan kamil.
Dah itu aja bang"
7,massaall_,2023-01-20 23:44:27+00:00,"@BegawanDrona @AchmadAnnama @ridwankamil @DroneEmpritLive Karepmu mas mas. Minimal diwoco kalem, dipahami &amp; ora usah sok paling keminter. Kene ki gur ngomong nek sing do dibandingke kui iseh raono apa”ne ro jumlah followeres e pak presiden. Terlalu hipe uripmu, mas!"
8,caknan6666,2023-01-20 23:42:06+00:00,@NewsJerami Tantangan buatmu kang @ridwankamil
9,ahmady118,2023-01-20 23:41:11+00:00,@ridwankamil @BimaAryaS Hatur nuhun pak gubernur @ridwankamil..pak wali @BimaAryaS
10,SukaPutus,2023-01-20 23:37:27+00:00,@ynilie @ridwankamil @WagimanDeep212_ Bogor mah ada tapi
11,NewsJerami,2023-01-20 23:36:57+00:00,"Ujang Komarudin, pengamat politik, mengatakan bahwa naik tidaknya suara Golkar bukan karena Ridwan Kamil.

Melainkan, karena perjuangan masing-masing anggota calon legislatif. 

https://t.co/Jjn1QuaiKX"
12,geng_adi,2023-01-20 23:35:20+00:00,@bapenda_jabar @ridwankamil @ata_lia @PaUuRuzhanul Masuk ke Samsat disuruh atau maksa beli map yang harganya diluar kewajaran dan itu diambil lagi oleh Samsat(petugas) awoook
13,sman02subang,2023-01-20 23:33:37+00:00,"Latihan Gabungan Ektraskurikuler Basket SMA Negeri 2 Subang bersama SMA Negeri 3 Subang pada hari Jum 'at tanggal 20 Januari 2023
@cadisdikwil4 
@disdikjabar 
@ridwankamil 
@EdiSuga32345623 
@haidersmanda https://t.co/qZ7Fy1pRC9"
14,hambapahala,2023-01-20 23:32:57+00:00,"@Valosenadya1 @gibran_tweet @CNNIndonesia Bukan mau belain sih, tp itu kayanya wajar deh udah jam 10 malam dia ngetwit waktu istirahat dia santai. Lagian masih ada kok yg lain contohnya ridwan kamil jg sering becanda. Malah banyak yg lagi kerja malah tidur wkwwk. Ini sekedar pendapat gw yg bukan warga sono"
15,SupriyantoWawa,2023-01-20 23:32:21+00:00,@infojakarta @ridwankamil Kirain bakal Capres lgsg...... 😏
16,hidayat070903,2023-01-20 23:26:36+00:00,"@ridwankamil Ribuan pedagang asongan dan PKL di Jabar lulusan apa yah? 
Buat mrk pendidikan tinggi tdk bgtu dipikirkan yg ptg bagaimana bs memenuhi kebutuhan tuk melanjutkan kehidupanya, mrk butuh perhatian..
Sudahkah pemprov memperhatikan mereka..???"
17,hdyntorama,2023-01-20 23:25:56+00:00,"@txtdaribandung Walikota bandung yg bener cuma bapak ridwan kamil, selebihnya tau sendiri lah"
18,aksibelaulama,2023-01-20 23:24:52+00:00,"Istri Sebagai Pencari Nafkah Utama Menurut Hukum Islam dan Hukum Positif.
Baca 👉 https://t.co/s1ok7aJwSb
.
Trend 🚀 Alhamdulillah Love is Love De Gea Ridwan Kamil Jimin of BTS Skinny THE BOYZ Jatuh Alexandra Average #jumatberkah #Islam. https://t.co/lhIAMLTYJJ"
19,achebainulhari1,2023-01-20 23:24:32+00:00,@hipohan Kehidupan rakyat jawa barat tak seindah postingan ridwan kamil.
20,jalueleven,2023-01-20 23:23:23+00:00,@infojakarta @ridwankamil Lawannya ahmad syahroni ntar dr nasdem
21,harun4lrasyid,2023-01-20 23:20:07+00:00,"@infojakarta @ridwankamil kayanya jakarta udah bagus mending ga usah, jadi capres aja atau fokus jabar aja dulu"
22,sman02subang,2023-01-20 23:18:31+00:00,"Kegiatan Keputrian di SMA Negeri 2 Subang pada hari Jum'at, 20 Januari 2023
@cadisdikwil4 
@disdikjabar 
@ridwankamil 
@EdiSuga32345623 https://t.co/Y0w0cV72Lv"
23,bgoodjonii,2023-01-20 23:17:16+00:00,@aniesbaswedan @NasDem Bareng si ridwan kadrun ya wan ? Sesama kadrun emang harus saling mendukung  @ridwankamil :p
24,NawacitapostC,2023-01-20 23:16:08+00:00,"alasan ridwan kamil memilih golkar

https://t.co/S1qTqV0ff2"
25,BegawanDrona,2023-01-20 23:11:34+00:00,"@massaall_ @AchmadAnnama @ridwankamil @DroneEmpritLive Terus ngopo? Jokowi dan Pak Airlangga (ketum partai golkar) dan @ridwankamil segaris, sekubu dan bolo...kita mah malah bangga. Pak Jokowi followernya banyak, Piye to bocah iki???"
26,missugarika,2023-01-20 23:07:23+00:00,@infojakarta @ridwankamil ya RK latihan dulu ke Jakarta jng langsung ke Capres-Cawapress. Latihan handle Ibukota dan permasalahannya
27,gasukakodok,2023-01-20 23:07:08+00:00,@sastrotingkir @dsbojongnangka @gibran_tweet @CNNIndonesia @ridwankamil Salah taq woyyyy... pemalang ya gubernurnya @ganjarpranowo .
28,uki_jafar,2023-01-20 23:05:17+00:00,@ridwankamil melalui mang @ridwankamil ...semiga partai golkar berkurang pencitraannya...dan lebih sanggup mengenali makna kata skala prioritas ..
29,PRDepok,2023-01-20 23:05:02+00:00,Pengamat Sebut Ridwan Kamil Buka Perubahan Konstelasi Pilpres Usai Gabung Partai Golkar https://t.co/XIvTddS7zW
30,Amiekamierkenb1,2023-01-20 23:02:41+00:00,@tatakujiyati Apabila Ganjar Pranowow berpasangan dengan Ridwan Kamil  saya sangat yakin  menang
31,LoveOfSpeechz,2023-01-20 23:00:39+00:00,"@golkarpedia @ridwankamil @airlangga_hrt Partai BUatan Orde Baru yang terkenal korupnya , kali ini mau membohongi rakyat indonesia yang mudah lupa dengan sejarah kelamnya Golkar"
32,A1ki4_ku5_21,2023-01-20 22:56:31+00:00,"Follower bukan jd acuan utk di jadikan patokan kemenangan,...follower belum tentu pendukung anda Pk. @ridwankamil"
33,Diskon_Link,2023-01-20 22:55:50+00:00,Langkah Ridwan Kamil Gabung Golkar Ubah Peta Politik Jelang Pilpres    https://t.co/dF8FcXpJFA https://t.co/8aEad0IQkZ
34,NewsJerami,2023-01-20 22:55:24+00:00,"Pangi Syarwi Chaniago, pengamat politik, menilai kebiasaan merekrut pesohor oleh parpol merusak pola kaderisasi dan sistem kepartaian.

Ambil contoh, Ridwan Kamil dan Uya Kuya.

https://t.co/BJo00KcHRJ"
35,Ontowirya,2023-01-20 22:55:08+00:00,"@AchmadAnnama @ridwankamil Sugeng Rawuh pak @ridwankamil di Partai Golkar, Partainya Orang Baik"
36,sastrotingkir,2023-01-20 22:50:03+00:00,@dsbojongnangka @gibran_tweet @CNNIndonesia cc @ridwankamil .... pak nihh ada perangkat desanya lagi nyari GA..
