,User,Date Created,Tweet
0,WasisDwinoto,2023-01-20 23:59:03+00:00,"@ch_chotimah2 @aniesbaswedan Jika benar bahwa fitnah itu lebih kejam dari pembunuhan.... smg yg selalu menebar fitnah cepat mendapatkan ganjaran....siapapun itu orangnya....
Baik yg pro anies..ganjar..pak de...juga erik..."
1,anieskembang,2023-01-20 23:58:05+00:00,"@bachrum_achmadi @ruhutsitompul Capres kan? Nah ini jd presiden makanya Indonesia maju...
Wkwkw

Buzzer @aniesbaswedan bego bego"
2,indapurwoto,2023-01-20 23:57:15+00:00,@4mp3ld3nt4_id @aniesbaswedan Jaga apbn biar dia yang ngembat
3,Oposisi_Militan,2023-01-20 23:56:54+00:00,@abwnewscom Kang Emil @ridwankamil ga ikutan pak @aniesbaswedan
4,fjwhy,2023-01-20 23:56:05+00:00,"Kena Reshuffle Kabinet Jokowi, Anies Baswedan Ternyata Pernah Selidiki Pemilik Ijazah Palsu saat Jadi Menteri Pendidikan 

https://t.co/wVYexasZkJ"
5,FreddyS22887525,2023-01-20 23:55:16+00:00,"1000% setuju' bib 🇮🇩💪
Habib Kribo Bilang Anies Baswedan Adalah Tipe Pemimpin yang Tak Akan Dipilih Rasul https://t.co/dRtOB2VNBC"
6,asrori_kudus,2023-01-20 23:55:03+00:00,"@ch_chotimah2 @aniesbaswedan Sy ikut ""PRIHATIN"" kt tetangga sblh.
Yg punya IDE aman2 sj pendukungnya malah jd TARGET KPK."
7,radyasatyaditya,2023-01-20 23:54:53+00:00,"@ZettaZahra2 @ulinyusron @aniesbaswedan Saya tanya yang mulia @ZettaZahra2 ...
Kalau ke Pak jokowi saya gak perlu nanya karena setiap saat beliau laporan hasil pekerjaan.. dan dipublikasikan"
8,NetizenHalu,2023-01-20 23:53:26+00:00,@Hilmi28 @jokowi @aniesbaswedan Tdk ada yg menghina anis. Semua yg dibeberkan tentang anis adalah fakta bahwa 5 tahun DKI tdk diurus dengan baik. Semua anggaran menjadi sesuatu yg tidak berguna bagi warga DKI. Terakhir masalah beras BANSOS yg hewan pun tak layak lagi konsumsi. Itu sangat jahat dan itu fakta !
9,KawSoeta,2023-01-20 23:51:57+00:00,"@FMF_070205 @aniesbaswedan Anis tutup mata atau pura pura, bisa juga dia sebagai dalang nya"
10,None79433571,2023-01-20 23:51:49+00:00,@aniesbaswedan @NasDem Hayu ah.. urang ngariung di jalak harupat. Ada cahaya terang buat kehidupan disana.
11,LANGKAHANIES,2023-01-20 23:51:46+00:00,"Jadikan BANDUNG LAUTAN @aniesbaswedan tanggal 22 Januari 2023.

Abaikan surat hoaks berita hoaks yg disebarkan oleh orang lucu2 di Media https://t.co/pOEPTcx2Qp"
12,johncool689,2023-01-20 23:50:13+00:00,@marlina_idha Emangnya siapa dia?? Udah gak laku lah pak @aniesbaswedan.. Udah bnyk yg tahu hasil kerja beliau.. Semua cm manis di mulut. Blkg main dana apbd dgn kronies nya beliau. Basi oi.. Zaman skrg dah basi dgn pemimpin rasis..
13,JatengTV,2023-01-20 23:49:58+00:00,(04) Pada PT Perorangan seluruh kendala dan resiko kerugian serta keuntungan akan dihadapi dan ditanggung oleh pemilik usaha itu sendiri. #ptperorangan #badanhukum #badanusaha #umkm #ganjarpranowo #prabowo #aniesbaswedan #puanmaharani #pilpres2024 https://t.co/HRqCfZUnue
14,TeguhTimurCom,2023-01-20 23:49:09+00:00,Sekjen PKS Akui AHY Ideal Dampingi Anies Baswedan https://t.co/jW041w7QPX
15,indapurwoto,2023-01-20 23:47:52+00:00,@aniesbaswedan @NasDem Awas jangan mau dikibulin sama wan abud
16,buridadira,2023-01-20 23:46:49+00:00,"@Mikalesun @Fahrihamzah Jokowi aja biasa aja, pendukungnya pada stress semua, wajar sih karena pak jokowi sama aja dengan anies baswedan. sama sama gagal mencerdaskan pendukungnya. semuanya sentimen, literasinya rendah, dan irasional."
17,Nahyudi36692450,2023-01-20 23:46:21+00:00,@aniesbaswedan Berlian pemikiran bapa
18,TeraAnindya,2023-01-20 23:44:57+00:00,"@Relawananies Halah kintil, kalau salah yah salah, gak usah bilang polatas politis. @aniesbaswedan dgn keruwedan rekam jejaknya tak layak. Indonesia butuh pemimpin yang clear dr berbagai kontroversi."
19,bos_sir,2023-01-20 23:44:06+00:00,"Mas @aniesbaswedan mengajak kita semua utk komit berjuang mewujudkan janji kemerdekaan. Janji kemerdekaan yg mempersatukan kita, yakni melindungi, mencerdeskan, &amp; mensejahterahkan seluruh rakyat Indonesia serta menjadi bagian dunia dlm terciptanya perdamaian."
20,KaryadiOke,2023-01-20 23:44:01+00:00,@ch_chotimah2 @aniesbaswedan Gambar ilustrasi tulisannya kok gak sesuai dg beritanya yah?
21,IlhamAbdAziz,2023-01-20 23:42:11+00:00,@ganjarpranowo @aniesbaswedan Utk Indonesia Lebih baik 2024🇲🇨🤲👍
22,KaraengPudji,2023-01-20 23:42:05+00:00,@tyhon9 @ch_chotimah2 @aniesbaswedan @abu_waras @rahmaniarbaftim @jokowi @ListyoSigitP @mohmahfudmd @CCICPolri @DivHumas_Polri Kenapa tidak berfungsi? Krn gak ada SETORAN nyaaaaah.....
23,Ubay2712,2023-01-20 23:40:15+00:00,@ANIESSATU @aniesbaswedan Mantab n keren
24,conan_idn,2023-01-20 23:39:52+00:00,"@kurawa TAPI ANIES BUKAN KALENG-KALENG...
DIA DATANG KE @KPK_RI.

SEMOGA SI @KPK_RI TIDAK TERMAKAN DESAKAN ATAU BAWELNYA GEROMBOLAN CEBONG YANG MAU ANIES CELAKA.

KARENA TAKUT BANGET KALAU @aniesbaswedan JADI PRESIDEN. https://t.co/sgp5L7xqxa"
25,ommi_siregar,2023-01-20 23:39:20+00:00,"""Pesawat terbang bisa membawa badan kita jauh dari tanah air. Tapi pesawat terbang takkan pernah bisa membawa hati dan pikiran kita jauh dari tanah Ibu Pertiwi""
#morningvibes
..by #AniesBaswedan https://t.co/3175btdtCd"
26,Imelerrys,2023-01-20 23:38:53+00:00,"@RagilSemar Yg penting RI 1nya 
2024
❤😎
Pak @aniesbaswedan"
27,temanduit,2023-01-20 23:37:00+00:00,@Mdy_Asmara1701 @aniesbaswedan semoga isti(qo)rahatlah dengan tenang di alamnya
28,NurHary63056283,2023-01-20 23:33:53+00:00,@Hilmi28 @jokowi @aniesbaswedan sehat selalu Ustadz
29,IlhamAbdAziz,2023-01-20 23:32:15+00:00,@ganjarpranowo @aniesbaswedan utk Indonesia lebih baik 2024🇲🇨🤲👍
30,JokoLipService,2023-01-20 23:31:41+00:00,@bos_sir @aniesbaswedan Pasti banyak yg iri karena mereka tdk memiliki kemampuan intelektual sprti pak Anies. Makanya mau di jegal.
31,IlhamAbdAziz,2023-01-20 23:31:34+00:00,@geloraco @aniesbaswedan utk Indonesia lebih baik 2024🇲🇨🤲👍
32,KAZILABEL,2023-01-20 23:31:22+00:00,@aniesbaswedan @NasDem Saya tertarik dengan kata Sampurasunya. Yg lainnya lihat dulu aja.. Rampes
33,bos_sir,2023-01-20 23:31:00+00:00,"Semangat teman2,,, terus bergerak bersama Anies Baswedan utk Indonesia Sejahtera. @Anies_Relawan @LANGKAHANIES"
34,arismaya,2023-01-20 23:30:46+00:00,@aniesbaswedan @Rika57904232 @NasDem Sobat Anies siap hadir bersama seluruh relawan @AgusMokhtar
35,bos_sir,2023-01-20 23:29:28+00:00,"@aniesbaswedan komit berjuang mewujudkan janji kemerdekaan kita.
Melindungi, mencerdeskan, mensejahterahkan seluruh rakyat Indonesia serta menjadi bagian dunia dlm tercitanya perdamaian."
36,s_mulyatie,2023-01-20 23:28:05+00:00,"@AndiSinulingga Silahkan menghujat 
Silahkan mendeskritkan
Teruskan usaha mencaci
Teruskan menafikan prestasi

@aniesbaswedan tempatnya dihati rakyat banyak
Kami menghayati penderitaan 2 periode terakhir
Kami muak dgn tingkah polah 2 periode terakhir

Rakyat hanya menggantung harapan pd beliau https://t.co/IpoJzuvNRS"
37,MgmPtmgm,2023-01-20 23:27:36+00:00,"Bakal Koalisi Pengusung Anies Baswedan Tak Kunjung Deklarasi, Rocky Gerung Duga Ada yang Mulai Ancang-ancang: 'Kita Hajar Dulu Anies...'
https://t.co/hxEYfh2hBQ"
38,madularang,2023-01-20 23:26:48+00:00,@DamaiHariLubis @alisyarief @aniesbaswedan BEGAL BERJUBAH AGAMA https://t.co/3QqxGMOAKi
39,rahmaniarbaftim,2023-01-20 23:24:40+00:00,"@BosPurwa @aniesbaswedan Naah ini aku tambahkan Kang, biar makin mencerdaskan yg ingin cerdas spt Pak Anies👍

Monggo disimak 👇 https://t.co/sZrDztJJUv"
40,rist_spait,2023-01-20 23:22:03+00:00,@Mdy_Asmara1701 @aniesbaswedan Doorprize nya apa nie????? Klo cm rice cooker ogah ahhh.....
41,Flanzka_,2023-01-20 23:21:29+00:00,@andiebs @Reiza_Patters @aniesbaswedan Ini web apa om ? https://t.co/4gUynLAQGh
42,Spionase025,2023-01-20 23:20:52+00:00,"@aniesbaswedan @feryfarhati Inggris itu pusatnya HTI. Jangan2 lagi kordinasi nih, sekalian cari logistik"
43,alhakim1305,2023-01-20 23:20:32+00:00,@BosPurwa @aniesbaswedan Tapi Banyak yg merasa Kepentingan nya Terusik
44,JatengTV,2023-01-20 23:19:59+00:00,(05) Pertanggungjawaban PT Perorangan sebatas modal yang disetor. Pemegang saham tidak bertanggung jawab secara pribadi melebihi saham yang dimiliki. #ptperorangan #badanhukum #badanusaha #ganjarpranowo #prabowo #aniesbaswedan #puanmaharani #pilpres2024 https://t.co/HRqCfZUnue
45,sapthadiena10,2023-01-20 23:19:56+00:00,@ch_chotimah2 @aniesbaswedan @abu_waras @rahmaniarbaftim @jokowi @ListyoSigitP @mohmahfudmd @CCICPolri @DivHumas_Polri Sengaja dipiara apa ya akun² begitu...
46,cuanbaksit,2023-01-20 23:19:19+00:00,"@kuracaci @hipohan @WartaEkonomi Perlu dipertanyakan keaslian ijazah @aniesbaswedan , penghargaan saja dipalsu demi citra"
47,harwoto1,2023-01-20 23:18:13+00:00,"@jala_ramadhan @lombok_princes @TeddGus @aniesbaswedan Lho lho kok gitu jadinya,  makanya saya minta penjesan anda karena hanya anda yg mengerti maksud pak anies tentang firaun,  biar orang  dungu tidak mengartikan lain.  Ayolah.  Klo jujur dapat pahala karena mencerahkan yg dungu"
48,bgoodjonii,2023-01-20 23:17:16+00:00,@aniesbaswedan @NasDem Bareng si ridwan kadrun ya wan ? Sesama kadrun emang harus saling mendukung  @ridwankamil :p
